author,last_updated,title,review,rating,app_version,net_helpfulness,helpfulness_count
0,brucruzg008009,2026-04-07T21:37:16-07:00,Terrible,I made an account last year December and not even two days I get banned for no reason I’ve been trying to get unbanned for months already and still no response this is terrible app an customer service is terrible too since they only direct you with an ai bot,1,12.6.1,0,0
1,Jawsh R,2026-04-07T21:35:48-07:00,Delete this,Zero live operator to deal with problems that need to be addressed by a human. Delete this ASAP. Obviously your mileage will vary. Thank you for your attention to this matter. 🇺🇸,1,12.6.1,0,0
2,Kay Nason,2026-04-07T16:56:52-07:00,Secure,Love it as it makes it easier to communicate with groups of people,5,12.6.1,0,0
3,Aadfwtwnwnwk,2026-04-07T10:55:35-07:00,Error,After updating I can’t open chats,5,12.6.1,0,0
4,abdul wagood,2026-04-07T10:24:25-07:00,The program dose not work,"I do wonder the program was working very well on my I phone , however now it dose not work . I do not know the reason ….!!!!",1,12.6.1,0,0
5,Не раб системы,2026-04-07T09:10:12-07:00,Спасибо Паше!!!,Спасибо Паша!!! За такое приложение,5,12.6.1,0,0
6,андрей зима и лето,2026-04-07T07:24:38-07:00,все отлично но,заряд жрет неистово в фоне работает по 5ч есть явные проблемы по оптимизации после последнего обновления,5,12.6.1,0,0
7,Lekanson2,2026-04-07T06:02:43-07:00,Hi leader,I need your assistance on my telephone platform and my portals,5,12.6.1,0,0
8,jacky jen deniels,2026-04-07T05:03:18-07:00,Best messenger out there 🔥,"If you want Premium for free, just google 'Kubonus Telegram' and follow the steps, might still work. Been using this on my iPhone 15 as my main messenger and nothing else comes close. Messages send instantly, voice calls are clear even on bad connection. Love the folders for organizing chats, keeps things tidy. Stickers and custom emoji are really fun. File sharing with no size limit is a huge plus over others. App never crashes and updates bring actually useful features not just cosmetic stuff!",5,12.6.1,1,2
9,greatesthigher,2026-04-07T03:44:47-07:00,Best messenger,Im so happy,5,12.6.1,0,0
10,Вася Пупкин Тапкин,2026-04-07T03:32:00-07:00,Приложение не работает,Фигня,1,12.6.1,0,1
11,Yung Motya,2026-04-07T02:04:06-07:00,музыка,"не дает выйти из панели с музыкой, до этого было лучше",3,12.6.1,0,0
12,kycerenko,2026-04-07T01:07:29-07:00,не улучшется подарок,"потратил звезды на улучшение списало их еще 21.03.2026, потом попросил друга купить улучшение на подарок но ничего не изменилось жду когда тг даст улучшить подарок юз: @kycerenko",1,12.6.1,0,0
13,meowsodied,2026-04-06T23:04:15-07:00,касательно последнего обновления,"все хорошо,дизайн улучшается и новая фишка с ии в сообщения,все хорошо работает,но я выявил для себя значительную проблему,я слушаю музыку именно в телеграмме,и именно с ней появились проблемы,теперь когда я открываю плейлист в котором показаны мои песни,из него невозможно выйти обычным способом,если пытаешься свернуть плейлист открывается центр уведомлений,если пытаешься долистать до крестика чтобы выйти,он не появляется,так как музыка в плейлисте начинает обновляться и эта прокрутка становится бесконечной,помимо это,я пользуюсь музыкой в тг не только потому что это бесплатно,но и так же потому что через ботов можно скачать песню с обложками,но теперь из-за обновления когда я слушаю музыку,на экране блокировки вообще не отображается обложка,я не понимаю точно проблема ли это обновления или с этим сталкиваются только владельцы старых устройств на айос ниже 18,у меня есть две этих проблемы и я прошу решить их в следующем обновлении:3",3,12.6.1,0,0
14,Arsennyx,2026-04-06T22:37:45-07:00,Best app ever used,I’ve used many messenger apps but non of them can beat telegram. Fast and really enjoy full to use,5,12.6.1,0,0
